2021-08-19 12:22:49.533  INFO [PensionerDetailService,,] 9656 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 16.0.1 on DESKTOP-UBQ4MP1 with PID 9656 (C:\Users\Sanyam\Desktop\CTS-final-viva\PensionManagement\pensioner-detail-microservice\target\classes started by Sanyam in C:\Users\Sanyam\Desktop\CTS-final-viva\PensionManagement\pensioner-detail-microservice)
2022-05-18 13:10:02.912  INFO [PensionerDetailService,3d22280d9f360226,e814e4477e20f54b] 15252 --- [http-nio-9081-exec-10] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-18 13:10:02.912  INFO [PensionerDetailService,3d22280d9f360226,e814e4477e20f54b] 15252 --- [http-nio-9081-exec-10] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-18 13:11:38.410  INFO [PensionerDetailService,,] 15252 --- [RMI TCP Connection(133)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2022-05-18 13:11:38.712  INFO [PensionerDetailService,,] 15252 --- [RMI TCP Connection(133)-127.0.0.1] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-05-18 13:11:39.023  WARN [PensionerDetailService,,] 15252 --- [RMI TCP Connection(133)-127.0.0.1] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2022-05-18 13:11:40.030  INFO [PensionerDetailService,,] 15252 --- [RMI TCP Connection(133)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2022-05-18 13:11:40.035  INFO [PensionerDetailService,,] 15252 --- [RMI TCP Connection(133)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2022-05-18 16:43:50.687  INFO [PensionerDetailService,,] 9228 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 17.0.2 on LAPTOP-3BOKUJ1Q with PID 9228 (C:\Users\hp\git\PensionManagementSystem\pensioner-detail-microservice\target\classes started by hp in C:\Users\hp\git\PensionManagementSystem\pensioner-detail-microservice)
2022-05-18 16:43:50.747  INFO [PensionerDetailService,,] 9228 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-18 16:43:50.857  INFO [PensionerDetailService,,] 9228 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-18 16:43:50.857  INFO [PensionerDetailService,,] 9228 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-18 16:43:54.726  INFO [PensionerDetailService,,] 9228 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-18 16:43:54.885  INFO [PensionerDetailService,,] 9228 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 144 ms. Found 1 JPA repository interfaces.
2022-05-18 16:43:56.311  INFO [PensionerDetailService,,] 9228 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=ebb79450-7510-3fb7-b0c0-78609648303c
2022-05-18 16:43:59.167  INFO [PensionerDetailService,,] 9228 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2022-05-18 16:43:59.205  INFO [PensionerDetailService,,] 9228 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-18 16:43:59.205  INFO [PensionerDetailService,,] 9228 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-18 16:43:59.674  INFO [PensionerDetailService,,] 9228 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-18 16:43:59.678  INFO [PensionerDetailService,,] 9228 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 8818 ms
2022-05-18 16:43:59.908  INFO [PensionerDetailService,,] 9228 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-18 16:44:00.429  INFO [PensionerDetailService,,] 9228 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-18 16:44:00.445  INFO [PensionerDetailService,,] 9228 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-18 16:44:01.509  WARN [PensionerDetailService,,] 9228 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connection refused: no further information; nested exception is java.net.ConnectException: Connection refused: no further information}]
2022-05-18 16:44:03.002  INFO [PensionerDetailService,,] 9228 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-18 16:44:03.139  INFO [PensionerDetailService,,] 9228 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-18 16:44:03.563  INFO [PensionerDetailService,,] 9228 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-18 16:44:03.939  INFO [PensionerDetailService,,] 9228 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-18 16:44:05.810  INFO [PensionerDetailService,,] 9228 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-18 16:44:05.840  INFO [PensionerDetailService,,] 9228 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-18 16:44:06.085  WARN [PensionerDetailService,,] 9228 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-18 16:44:08.451  INFO [PensionerDetailService,,] 9228 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : STARTED - savePensionerData
2022-05-18 16:44:08.987  INFO [PensionerDetailService,,] 9228 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : END - savePensionerData
2022-05-18 16:44:09.397  WARN [PensionerDetailService,,] 9228 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-18 16:44:14.823  INFO [PensionerDetailService,,] 9228 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9081 (http) with context path ''
2022-05-18 16:44:15.384  INFO [PensionerDetailService,,] 9228 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-18 16:44:15.435  INFO [PensionerDetailService,,] 9228 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-18 16:44:15.475  INFO [PensionerDetailService,,] 9228 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-18 16:44:15.902  INFO [PensionerDetailService,,] 9228 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Started PensionerDetailMicroserviceApplication in 27.031 seconds (JVM running for 29.031)
2022-05-18 16:45:31.331  INFO [PensionerDetailService,,] 9228 --- [http-nio-9081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-18 16:45:31.331  INFO [PensionerDetailService,,] 9228 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-18 16:45:31.335  INFO [PensionerDetailService,,] 9228 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 4 ms
2022-05-18 16:45:31.374  INFO [PensionerDetailService,33a4ea398f9c096b,bb07e47e985ab9eb] 9228 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-18 16:45:31.374  INFO [PensionerDetailService,33a4ea398f9c096b,bb07e47e985ab9eb] 9228 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-18 16:45:44.231  INFO [PensionerDetailService,7554bf14ff27d7cc,9b5b89b92bfab92e] 9228 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-18 16:45:44.232  INFO [PensionerDetailService,7554bf14ff27d7cc,9b5b89b92bfab92e] 9228 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-18 16:46:50.010  INFO [PensionerDetailService,89ba9137a3d2b9cb,f0376f5fa09f9dd7] 9228 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 16:46:50.062  INFO [PensionerDetailService,89ba9137a3d2b9cb,f0376f5fa09f9dd7] 9228 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 16:46:59.746  INFO [PensionerDetailService,1002f737f45dbe4e,b63835dc49abac3f] 9228 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-18 16:46:59.747  INFO [PensionerDetailService,1002f737f45dbe4e,b63835dc49abac3f] 9228 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-18 16:49:20.475  INFO [PensionerDetailService,dc4ff6148c049521,e6eb8fe0a42133a7] 9228 --- [http-nio-9081-exec-8] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 16:49:20.492  INFO [PensionerDetailService,dc4ff6148c049521,e6eb8fe0a42133a7] 9228 --- [http-nio-9081-exec-8] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 16:49:30.580  INFO [PensionerDetailService,069a2e2d4357a171,78f6d27b58092535] 9228 --- [http-nio-9081-exec-7] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 16:49:30.592  INFO [PensionerDetailService,069a2e2d4357a171,78f6d27b58092535] 9228 --- [http-nio-9081-exec-7] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 16:55:15.762  INFO [PensionerDetailService,5a082b77aa9f2655,f02a5319637ff583] 9228 --- [http-nio-9081-exec-10] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 16:55:15.776  INFO [PensionerDetailService,5a082b77aa9f2655,f02a5319637ff583] 9228 --- [http-nio-9081-exec-10] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 16:55:33.158  INFO [PensionerDetailService,f0a1a9643a462be1,a0ad70dd08cfceb3] 9228 --- [http-nio-9081-exec-9] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 16:55:33.170  INFO [PensionerDetailService,f0a1a9643a462be1,a0ad70dd08cfceb3] 9228 --- [http-nio-9081-exec-9] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 16:58:42.978  INFO [PensionerDetailService,50d8e48b6efc88a3,e398764d62bd57b5] 9228 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 16:58:42.996  INFO [PensionerDetailService,50d8e48b6efc88a3,e398764d62bd57b5] 9228 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 17:02:11.095  INFO [PensionerDetailService,4cf94c6dac559964,72aeaa611828a328] 9228 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 17:02:11.106  INFO [PensionerDetailService,4cf94c6dac559964,72aeaa611828a328] 9228 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 17:02:23.327  INFO [PensionerDetailService,63551df852fc72c7,f895db2c493e878f] 9228 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 17:02:23.342  INFO [PensionerDetailService,63551df852fc72c7,f895db2c493e878f] 9228 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 17:03:37.289  INFO [PensionerDetailService,b06d85364dcab82d,12ea85dbba1f8246] 9228 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 17:03:37.301  INFO [PensionerDetailService,b06d85364dcab82d,12ea85dbba1f8246] 9228 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 17:04:15.472  INFO [PensionerDetailService,ba0ae76fd408ab33,495e81c3cbe368f7] 9228 --- [http-nio-9081-exec-8] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 17:04:15.481  INFO [PensionerDetailService,ba0ae76fd408ab33,495e81c3cbe368f7] 9228 --- [http-nio-9081-exec-8] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 17:09:17.143  INFO [PensionerDetailService,6c89df8fa9f7685e,f4f5bf16e2a9862b] 9228 --- [http-nio-9081-exec-7] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 17:09:17.157  INFO [PensionerDetailService,6c89df8fa9f7685e,f4f5bf16e2a9862b] 9228 --- [http-nio-9081-exec-7] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 17:09:31.952  INFO [PensionerDetailService,f9f05f2d67972fe4,f2143232102ad644] 9228 --- [http-nio-9081-exec-10] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-18 17:09:31.960  INFO [PensionerDetailService,f9f05f2d67972fe4,f2143232102ad644] 9228 --- [http-nio-9081-exec-10] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-18 17:09:41.340  INFO [PensionerDetailService,a07d26da948d861f,e4fd7bd44dcdd1ba] 9228 --- [http-nio-9081-exec-9] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-18 17:09:41.340  INFO [PensionerDetailService,a07d26da948d861f,e4fd7bd44dcdd1ba] 9228 --- [http-nio-9081-exec-9] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-18 17:15:00.490  INFO [PensionerDetailService,370696340e2f89f9,acbb595a08a68b7c] 9228 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-18 17:15:00.491  INFO [PensionerDetailService,370696340e2f89f9,acbb595a08a68b7c] 9228 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-18 17:34:16.427  INFO [PensionerDetailService,,] 9228 --- [RMI TCP Connection(65)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2022-05-18 17:34:17.567  INFO [PensionerDetailService,,] 9228 --- [RMI TCP Connection(65)-127.0.0.1] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-05-18 17:34:17.840  WARN [PensionerDetailService,,] 9228 --- [RMI TCP Connection(65)-127.0.0.1] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2022-05-18 17:34:18.845  INFO [PensionerDetailService,,] 9228 --- [RMI TCP Connection(65)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2022-05-18 17:34:18.903  INFO [PensionerDetailService,,] 9228 --- [RMI TCP Connection(65)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2022-05-18 17:56:54.524  INFO [PensionerDetailService,,] 15680 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 17.0.2 on LAPTOP-3BOKUJ1Q with PID 15680 (C:\Users\hp\git\PensionManagementSystem\pensioner-detail-microservice\target\classes started by hp in C:\Users\hp\git\PensionManagementSystem\pensioner-detail-microservice)
2022-05-18 17:56:54.594  INFO [PensionerDetailService,,] 15680 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-18 17:56:55.185  INFO [PensionerDetailService,,] 15680 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-18 17:56:55.185  INFO [PensionerDetailService,,] 15680 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-18 17:57:02.747  INFO [PensionerDetailService,,] 15680 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-18 17:57:03.099  INFO [PensionerDetailService,,] 15680 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 290 ms. Found 1 JPA repository interfaces.
2022-05-18 17:57:04.432  INFO [PensionerDetailService,,] 15680 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=ebb79450-7510-3fb7-b0c0-78609648303c
2022-05-18 17:57:15.673  INFO [PensionerDetailService,,] 15680 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2022-05-18 17:57:15.785  INFO [PensionerDetailService,,] 15680 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-18 17:57:15.786  INFO [PensionerDetailService,,] 15680 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-18 17:57:16.528  INFO [PensionerDetailService,,] 15680 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-18 17:57:16.528  INFO [PensionerDetailService,,] 15680 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 21341 ms
2022-05-18 17:57:16.825  INFO [PensionerDetailService,,] 15680 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-18 17:57:17.578  INFO [PensionerDetailService,,] 15680 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-18 17:57:17.614  INFO [PensionerDetailService,,] 15680 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-18 17:57:19.235  WARN [PensionerDetailService,,] 15680 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connection refused: no further information; nested exception is java.net.ConnectException: Connection refused: no further information}]
2022-05-18 17:57:19.976  INFO [PensionerDetailService,,] 15680 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-18 17:57:21.280  INFO [PensionerDetailService,,] 15680 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-18 17:57:29.253  INFO [PensionerDetailService,,] 15680 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-18 17:57:33.939  INFO [PensionerDetailService,,] 15680 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-18 17:57:46.100  INFO [PensionerDetailService,,] 15680 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-18 17:57:46.116  INFO [PensionerDetailService,,] 15680 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-18 17:57:46.397  WARN [PensionerDetailService,,] 15680 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-18 17:57:47.996  INFO [PensionerDetailService,,] 15680 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : STARTED - savePensionerData
2022-05-18 17:57:48.698  INFO [PensionerDetailService,,] 15680 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : END - savePensionerData
2022-05-18 17:57:49.155  WARN [PensionerDetailService,,] 15680 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-18 17:57:58.711  INFO [PensionerDetailService,,] 15680 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9081 (http) with context path ''
2022-05-18 17:57:59.933  INFO [PensionerDetailService,,] 15680 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-18 17:58:00.014  INFO [PensionerDetailService,,] 15680 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-18 17:58:00.095  INFO [PensionerDetailService,,] 15680 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-18 17:58:00.984  INFO [PensionerDetailService,,] 15680 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Started PensionerDetailMicroserviceApplication in 69.227 seconds (JVM running for 72.961)
2022-05-18 18:29:23.437  INFO [PensionerDetailService,,] 15680 --- [http-nio-9081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-18 18:29:23.805  INFO [PensionerDetailService,,] 15680 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-18 18:29:24.099  INFO [PensionerDetailService,,] 15680 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 293 ms
2022-05-18 18:29:25.116  INFO [PensionerDetailService,b8cbe93033e7d393,a237c1caef29589e] 15680 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-18 18:29:25.117  INFO [PensionerDetailService,b8cbe93033e7d393,a237c1caef29589e] 15680 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-18 18:29:29.210  INFO [PensionerDetailService,c642a57e6abad8d5,12ed068a65ce6203] 15680 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-18 18:29:29.211  INFO [PensionerDetailService,c642a57e6abad8d5,12ed068a65ce6203] 15680 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-18 18:54:42.043  INFO [PensionerDetailService,a3fa7aa2bcd4b449,9b16357d930af191] 15680 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-18 18:54:42.045  INFO [PensionerDetailService,a3fa7aa2bcd4b449,9b16357d930af191] 15680 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : END - getAllDetail
